,index,value,status
0,0,-5,loss
1,1,0,draw
2,2,-5,loss
3,3,-5,loss
4,4,5,win
5,5,-5,loss
6,6,-5,loss
7,7,5,win
8,8,5,win
9,9,5,win
10,10,-5,loss
11,11,5,win
12,12,5,win
13,13,-5,loss
14,14,5,win
15,15,-5,loss
16,16,-5,loss
17,17,-5,loss
18,18,-5,loss
19,19,-5,loss
20,20,5,win
21,21,5,win
22,22,5,win
23,23,-5,loss
24,24,-5,loss
25,25,5,win
26,26,-5,loss
27,27,-5,loss
28,28,-5,loss
29,29,-5,loss
30,30,5,win
31,31,-5,loss
32,32,5,win
33,33,-5,loss
34,34,-5,loss
35,35,-5,loss
36,36,5,win
37,37,-5,loss
38,38,5,win
39,39,-5,loss
40,40,-5,loss
41,41,-5,loss
42,42,-5,loss
43,43,-5,loss
44,44,-5,loss
45,45,5,win
46,46,5,win
47,47,-5,loss
48,48,5,win
49,49,-5,loss
50,50,5,win
51,51,-5,loss
52,52,5,win
53,53,5,win
54,54,5,win
55,55,-5,loss
56,56,-5,loss
57,57,-5,loss
58,58,5,win
59,59,5,win
60,60,5,win
61,61,5,win
62,62,-5,loss
63,63,5,win
64,64,-5,loss
65,65,-5,loss
66,66,-5,loss
67,67,5,win
68,68,5,win
69,69,-5,loss
70,70,-5,loss
71,71,-5,loss
72,72,-5,loss
73,73,5,win
74,74,5,win
75,75,-5,loss
76,76,-5,loss
77,77,0,draw
78,78,-5,loss
79,79,-5,loss
80,80,5,win
81,81,5,win
82,82,-5,loss
83,83,-5,loss
84,84,5,win
85,85,-5,loss
86,86,-5,loss
87,87,-5,loss
88,88,5,win
89,89,-5,loss
90,90,-5,loss
91,91,-5,loss
92,92,-5,loss
93,93,-5,loss
94,94,-5,loss
95,95,5,win
96,96,-5,loss
97,97,-5,loss
98,98,5,win
99,99,-5,loss
100,100,5,win
101,101,5,win
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,-5,loss
106,106,-5,loss
107,107,-5,loss
108,108,-5,loss
109,109,-5,loss
110,110,-5,loss
111,111,5,win
112,112,5,win
113,113,-5,loss
114,114,5,win
115,115,0,draw
116,116,5,win
117,117,5,win
118,118,5,win
119,119,5,win
120,120,5,win
121,121,-5,loss
122,122,0,draw
123,123,5,win
124,124,5,win
125,125,5,win
126,126,-5,loss
127,127,-5,loss
128,128,-5,loss
129,129,-5,loss
130,130,5,win
131,131,-5,loss
132,132,-5,loss
133,133,-5,loss
134,134,-5,loss
135,135,5,win
136,136,-5,loss
137,137,-5,loss
138,138,-5,loss
139,139,-5,loss
140,140,-5,loss
141,141,5,win
142,142,-5,loss
143,143,5,win
144,144,5,win
145,145,5,win
146,146,-5,loss
147,147,-5,loss
148,148,-5,loss
149,149,5,win
150,150,5,win
151,151,5,win
152,152,-5,loss
153,153,-5,loss
154,154,-5,loss
155,155,-5,loss
156,156,-5,loss
157,157,-5,loss
158,158,5,win
159,159,-5,loss
160,160,5,win
161,161,5,win
162,162,5,win
163,163,-5,loss
164,164,-5,loss
165,165,-5,loss
