,index,value,status
0,0,5,win
1,1,5,win
2,2,-5,loss
3,3,5,win
4,4,-5,loss
5,5,5,win
6,6,-5,loss
7,7,-5,loss
8,8,5,win
9,9,5,win
10,10,-5,loss
11,11,-5,loss
12,12,0,draw
13,13,-5,loss
14,14,5,win
15,15,-5,loss
16,16,-5,loss
17,17,-5,loss
18,18,-5,loss
19,19,5,win
20,20,-5,loss
21,21,5,win
22,22,-5,loss
23,23,-5,loss
24,24,5,win
25,25,-5,loss
26,26,5,win
27,27,-5,loss
28,28,5,win
29,29,5,win
30,30,-5,loss
31,31,5,win
32,32,-5,loss
33,33,5,win
34,34,-5,loss
35,35,-5,loss
36,36,5,win
37,37,5,win
38,38,5,win
39,39,-5,loss
40,40,5,win
41,41,-5,loss
42,42,5,win
43,43,5,win
44,44,-5,loss
45,45,-5,loss
46,46,5,win
47,47,5,win
48,48,-5,loss
49,49,5,win
50,50,5,win
51,51,5,win
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,-5,loss
56,56,-5,loss
57,57,-5,loss
58,58,0,draw
59,59,-5,loss
60,60,-5,loss
61,61,5,win
62,62,5,win
63,63,5,win
64,64,-5,loss
65,65,-5,loss
66,66,-5,loss
67,67,5,win
68,68,5,win
69,69,0,draw
70,70,5,win
71,71,5,win
72,72,-5,loss
73,73,-5,loss
74,74,5,win
75,75,-5,loss
76,76,-5,loss
77,77,-5,loss
78,78,-5,loss
79,79,-5,loss
80,80,0,draw
81,81,-5,loss
82,82,5,win
83,83,-5,loss
84,84,-5,loss
85,85,5,win
86,86,5,win
87,87,-5,loss
88,88,5,win
89,89,5,win
90,90,5,win
91,91,-5,loss
92,92,-5,loss
93,93,5,win
94,94,5,win
95,95,5,win
96,96,-5,loss
97,97,-5,loss
98,98,5,win
99,99,-5,loss
100,100,-5,loss
101,101,-5,loss
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,-5,loss
106,106,5,win
107,107,5,win
108,108,5,win
109,109,-5,loss
110,110,5,win
111,111,5,win
112,112,-5,loss
113,113,5,win
114,114,-5,loss
115,115,-5,loss
116,116,-5,loss
117,117,-5,loss
118,118,5,win
119,119,-5,loss
120,120,5,win
121,121,5,win
122,122,-5,loss
123,123,-5,loss
124,124,5,win
125,125,0,draw
126,126,-5,loss
127,127,-5,loss
128,128,5,win
129,129,5,win
130,130,-5,loss
131,131,-5,loss
132,132,0,draw
133,133,5,win
134,134,5,win
135,135,-5,loss
136,136,-5,loss
137,137,5,win
138,138,-5,loss
139,139,-5,loss
140,140,5,win
141,141,5,win
142,142,-5,loss
143,143,5,win
144,144,-5,loss
145,145,0,draw
146,146,5,win
147,147,-5,loss
148,148,5,win
149,149,5,win
150,150,-5,loss
151,151,5,win
152,152,5,win
153,153,5,win
154,154,-5,loss
155,155,5,win
156,156,0,draw
157,157,5,win
158,158,-5,loss
159,159,-5,loss
160,160,5,win
161,161,5,win
162,162,-5,loss
163,163,5,win
164,164,-5,loss
165,165,-5,loss
166,166,5,win
167,167,-5,loss
168,168,-5,loss
169,169,5,win
170,170,-5,loss
171,171,5,win
172,172,-5,loss
173,173,-5,loss
174,174,-5,loss
175,175,5,win
176,176,5,win
177,177,5,win
178,178,5,win
179,179,5,win
180,180,5,win
181,181,-5,loss
182,182,-5,loss
183,183,-5,loss
184,184,5,win
185,185,5,win
186,186,-5,loss
187,187,-5,loss
188,188,5,win
189,189,-5,loss
190,190,5,win
191,191,5,win
192,192,-5,loss
193,193,5,win
194,194,5,win
195,195,-5,loss
196,196,5,win
197,197,5,win
198,198,5,win
199,199,-5,loss
200,200,-5,loss
201,201,-5,loss
202,202,-5,loss
203,203,-5,loss
204,204,-5,loss
205,205,-5,loss
206,206,-5,loss
207,207,-5,loss
208,208,5,win
209,209,5,win
210,210,-5,loss
211,211,-5,loss
212,212,5,win
213,213,-5,loss
214,214,-5,loss
215,215,-5,loss
216,216,5,win
217,217,-5,loss
218,218,-5,loss
219,219,-5,loss
220,220,-5,loss
221,221,-5,loss
222,222,0,draw
223,223,-5,loss
224,224,-5,loss
225,225,-5,loss
226,226,-5,loss
227,227,5,win
228,228,5,win
229,229,-5,loss
230,230,5,win
231,231,5,win
232,232,5,win
233,233,-5,loss
234,234,-5,loss
235,235,-5,loss
236,236,-5,loss
237,237,5,win
238,238,-5,loss
239,239,-5,loss
240,240,5,win
241,241,-5,loss
242,242,5,win
243,243,5,win
244,244,0,draw
245,245,0,draw
246,246,-5,loss
247,247,-5,loss
248,248,-5,loss
249,249,-5,loss
250,250,-5,loss
251,251,-5,loss
252,252,-5,loss
253,253,5,win
254,254,-5,loss
255,255,-5,loss
256,256,5,win
257,257,5,win
258,258,-5,loss
259,259,-5,loss
260,260,-5,loss
261,261,-5,loss
262,262,5,win
263,263,5,win
264,264,-5,loss
265,265,5,win
266,266,-5,loss
267,267,5,win
268,268,-5,loss
269,269,-5,loss
270,270,-5,loss
271,271,5,win
272,272,-5,loss
273,273,-5,loss
274,274,5,win
275,275,5,win
276,276,5,win
277,277,5,win
278,278,5,win
279,279,5,win
