,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,-5,loss
3,3,-5,loss
4,4,-5,loss
5,5,-5,loss
6,6,5,win
7,7,-5,loss
8,8,-5,loss
9,9,-5,loss
10,10,5,win
11,11,5,win
12,12,5,win
13,13,-5,loss
14,14,5,win
15,15,5,win
16,16,0,draw
17,17,-5,loss
18,18,-5,loss
19,19,-5,loss
20,20,-5,loss
21,21,-5,loss
22,22,-5,loss
23,23,5,win
24,24,-5,loss
25,25,-5,loss
26,26,5,win
27,27,-5,loss
28,28,5,win
29,29,5,win
30,30,5,win
31,31,5,win
32,32,-5,loss
33,33,0,draw
34,34,-5,loss
35,35,-5,loss
36,36,-5,loss
37,37,5,win
38,38,-5,loss
39,39,5,win
40,40,-5,loss
41,41,5,win
42,42,5,win
43,43,0,draw
44,44,-5,loss
45,45,5,win
46,46,5,win
47,47,-5,loss
48,48,-5,loss
49,49,-5,loss
50,50,5,win
51,51,5,win
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,-5,loss
56,56,5,win
57,57,-5,loss
58,58,5,win
59,59,5,win
60,60,5,win
61,61,-5,loss
62,62,-5,loss
63,63,-5,loss
64,64,-5,loss
65,65,5,win
66,66,-5,loss
67,67,-5,loss
68,68,0,draw
69,69,0,draw
70,70,-5,loss
71,71,0,draw
72,72,-5,loss
73,73,-5,loss
74,74,5,win
75,75,5,win
76,76,5,win
77,77,5,win
78,78,5,win
79,79,-5,loss
80,80,-5,loss
81,81,-5,loss
82,82,-5,loss
83,83,5,win
84,84,-5,loss
85,85,-5,loss
86,86,-5,loss
87,87,5,win
88,88,-5,loss
89,89,-5,loss
90,90,-5,loss
91,91,-5,loss
92,92,-5,loss
93,93,-5,loss
94,94,5,win
95,95,5,win
96,96,-5,loss
97,97,5,win
98,98,5,win
99,99,-5,loss
100,100,-5,loss
101,101,-5,loss
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,5,win
106,106,-5,loss
107,107,5,win
108,108,-5,loss
109,109,-5,loss
110,110,-5,loss
111,111,-5,loss
112,112,5,win
113,113,-5,loss
114,114,-5,loss
115,115,5,win
116,116,5,win
117,117,-5,loss
118,118,5,win
119,119,-5,loss
120,120,-5,loss
121,121,0,draw
122,122,-5,loss
123,123,-5,loss
124,124,5,win
125,125,-5,loss
126,126,5,win
127,127,5,win
128,128,-5,loss
129,129,-5,loss
130,130,-5,loss
131,131,-5,loss
132,132,-5,loss
133,133,5,win
134,134,-5,loss
135,135,5,win
136,136,-5,loss
137,137,-5,loss
138,138,-5,loss
139,139,-5,loss
140,140,-5,loss
141,141,-5,loss
142,142,-5,loss
143,143,-5,loss
144,144,5,win
145,145,-5,loss
146,146,-5,loss
147,147,-5,loss
148,148,5,win
149,149,-5,loss
150,150,-5,loss
151,151,5,win
152,152,5,win
153,153,5,win
154,154,5,win
155,155,5,win
156,156,-5,loss
157,157,-5,loss
158,158,-5,loss
159,159,5,win
160,160,5,win
161,161,-5,loss
162,162,-5,loss
163,163,5,win
164,164,0,draw
165,165,5,win
166,166,5,win
167,167,-5,loss
168,168,5,win
169,169,5,win
170,170,-5,loss
171,171,5,win
172,172,-5,loss
173,173,-5,loss
174,174,-5,loss
175,175,-5,loss
176,176,5,win
177,177,5,win
178,178,-5,loss
179,179,-5,loss
180,180,-5,loss
181,181,-5,loss
182,182,5,win
183,183,0,draw
184,184,5,win
185,185,-5,loss
186,186,-5,loss
187,187,-5,loss
188,188,-5,loss
189,189,0,draw
190,190,-5,loss
191,191,5,win
192,192,-5,loss
193,193,5,win
194,194,-5,loss
195,195,-5,loss
196,196,-5,loss
197,197,-5,loss
198,198,5,win
199,199,-5,loss
200,200,-5,loss
201,201,-5,loss
202,202,5,win
203,203,5,win
204,204,-5,loss
205,205,5,win
206,206,5,win
207,207,-5,loss
208,208,-5,loss
209,209,-5,loss
210,210,5,win
211,211,5,win
212,212,5,win
213,213,-5,loss
214,214,-5,loss
215,215,-5,loss
216,216,5,win
217,217,5,win
218,218,0,draw
219,219,5,win
220,220,5,win
221,221,-5,loss
222,222,5,win
223,223,-5,loss
224,224,-5,loss
225,225,-5,loss
226,226,-5,loss
227,227,-5,loss
228,228,-5,loss
229,229,-5,loss
230,230,5,win
231,231,-5,loss
232,232,-5,loss
233,233,-5,loss
234,234,-5,loss
235,235,5,win
236,236,-5,loss
237,237,0,draw
238,238,-5,loss
239,239,5,win
240,240,5,win
241,241,5,win
242,242,-5,loss
243,243,-5,loss
244,244,-5,loss
245,245,-5,loss
246,246,5,win
247,247,-5,loss
248,248,5,win
249,249,5,win
250,250,-5,loss
251,251,-5,loss
252,252,-5,loss
253,253,5,win
254,254,-5,loss
255,255,-5,loss
256,256,-5,loss
257,257,-5,loss
258,258,5,win
259,259,-5,loss
260,260,-5,loss
261,261,-5,loss
262,262,-5,loss
263,263,5,win
264,264,-5,loss
265,265,-5,loss
266,266,-5,loss
267,267,-5,loss
268,268,5,win
269,269,5,win
270,270,5,win
271,271,5,win
272,272,5,win
273,273,5,win
274,274,5,win
275,275,-5,loss
276,276,5,win
277,277,5,win
278,278,-5,loss
279,279,-5,loss
280,280,5,win
281,281,5,win
282,282,5,win
283,283,-5,loss
284,284,-5,loss
285,285,5,win
286,286,-5,loss
287,287,0,draw
288,288,-5,loss
289,289,-5,loss
290,290,-5,loss
291,291,-5,loss
292,292,5,win
293,293,-5,loss
294,294,5,win
295,295,5,win
296,296,-5,loss
297,297,-5,loss
298,298,-5,loss
299,299,-5,loss
300,300,-5,loss
301,301,5,win
302,302,5,win
303,303,-5,loss
304,304,5,win
305,305,5,win
306,306,5,win
307,307,-5,loss
308,308,5,win
309,309,5,win
310,310,5,win
311,311,-5,loss
312,312,-5,loss
313,313,5,win
314,314,-5,loss
315,315,-5,loss
316,316,-5,loss
317,317,5,win
318,318,-5,loss
319,319,-5,loss
320,320,-5,loss
321,321,0,draw
322,322,5,win
323,323,0,draw
324,324,0,draw
325,325,-5,loss
326,326,5,win
327,327,-5,loss
328,328,5,win
329,329,5,win
330,330,-5,loss
331,331,-5,loss
332,332,-5,loss
333,333,5,win
334,334,-5,loss
335,335,-5,loss
336,336,0,draw
337,337,-5,loss
338,338,-5,loss
339,339,-5,loss
340,340,-5,loss
341,341,-5,loss
342,342,-5,loss
343,343,-5,loss
344,344,-5,loss
345,345,5,win
346,346,5,win
347,347,-5,loss
348,348,-5,loss
349,349,0,draw
350,350,5,win
351,351,-5,loss
352,352,5,win
353,353,-5,loss
354,354,-5,loss
355,355,-5,loss
356,356,-5,loss
357,357,5,win
358,358,-5,loss
359,359,-5,loss
360,360,-5,loss
361,361,5,win
362,362,-5,loss
363,363,5,win
364,364,5,win
365,365,-5,loss
