,index,value,status
0,0,5,win
1,1,5,win
2,2,-5,loss
3,3,5,win
4,4,5,win
5,5,5,win
6,6,5,win
7,7,-5,loss
8,8,-5,loss
9,9,5,win
10,10,5,win
11,11,-5,loss
12,12,-5,loss
13,13,5,win
14,14,5,win
15,15,-5,loss
16,16,-5,loss
17,17,-5,loss
18,18,-5,loss
19,19,-5,loss
20,20,0,draw
21,21,-5,loss
22,22,-5,loss
23,23,5,win
24,24,-5,loss
25,25,5,win
26,26,0,draw
27,27,-5,loss
28,28,-5,loss
29,29,5,win
30,30,-5,loss
31,31,5,win
32,32,5,win
33,33,-5,loss
34,34,5,win
35,35,-5,loss
36,36,-5,loss
37,37,-5,loss
38,38,5,win
39,39,5,win
40,40,-5,loss
41,41,-5,loss
42,42,-5,loss
43,43,-5,loss
44,44,-5,loss
45,45,-5,loss
46,46,-5,loss
47,47,5,win
48,48,5,win
49,49,5,win
50,50,-5,loss
51,51,-5,loss
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,5,win
56,56,-5,loss
57,57,-5,loss
58,58,0,draw
59,59,5,win
60,60,5,win
61,61,-5,loss
62,62,5,win
63,63,5,win
64,64,-5,loss
65,65,5,win
66,66,5,win
67,67,-5,loss
68,68,-5,loss
69,69,-5,loss
70,70,5,win
71,71,-5,loss
72,72,0,draw
73,73,-5,loss
74,74,-5,loss
75,75,5,win
76,76,-5,loss
77,77,-5,loss
78,78,-5,loss
79,79,-5,loss
80,80,-5,loss
81,81,-5,loss
82,82,5,win
83,83,5,win
84,84,5,win
85,85,-5,loss
86,86,5,win
87,87,5,win
88,88,0,draw
89,89,5,win
90,90,-5,loss
91,91,-5,loss
92,92,5,win
93,93,-5,loss
94,94,-5,loss
95,95,5,win
96,96,-5,loss
97,97,5,win
98,98,-5,loss
99,99,5,win
100,100,-5,loss
101,101,-5,loss
102,102,-5,loss
103,103,-5,loss
104,104,5,win
105,105,-5,loss
106,106,-5,loss
107,107,-5,loss
108,108,-5,loss
109,109,5,win
110,110,-5,loss
111,111,5,win
112,112,-5,loss
113,113,-5,loss
114,114,-5,loss
115,115,0,draw
116,116,-5,loss
117,117,-5,loss
118,118,-5,loss
119,119,5,win
120,120,-5,loss
121,121,-5,loss
122,122,-5,loss
123,123,-5,loss
124,124,-5,loss
125,125,5,win
126,126,5,win
127,127,-5,loss
128,128,-5,loss
129,129,-5,loss
130,130,5,win
131,131,5,win
132,132,5,win
133,133,-5,loss
134,134,-5,loss
135,135,-5,loss
136,136,-5,loss
137,137,-5,loss
138,138,-5,loss
139,139,-5,loss
140,140,0,draw
141,141,0,draw
142,142,-5,loss
143,143,-5,loss
144,144,-5,loss
145,145,5,win
146,146,5,win
147,147,-5,loss
148,148,5,win
149,149,-5,loss
150,150,5,win
151,151,-5,loss
152,152,5,win
153,153,-5,loss
154,154,-5,loss
155,155,5,win
156,156,-5,loss
157,157,-5,loss
158,158,-5,loss
159,159,-5,loss
160,160,5,win
161,161,-5,loss
162,162,5,win
163,163,-5,loss
164,164,-5,loss
165,165,-5,loss
166,166,-5,loss
167,167,-5,loss
168,168,5,win
169,169,-5,loss
170,170,-5,loss
171,171,-5,loss
172,172,5,win
173,173,-5,loss
174,174,-5,loss
175,175,-5,loss
176,176,-5,loss
177,177,5,win
178,178,5,win
179,179,-5,loss
180,180,5,win
181,181,5,win
182,182,5,win
183,183,-5,loss
184,184,-5,loss
185,185,5,win
186,186,-5,loss
187,187,5,win
188,188,5,win
189,189,-5,loss
190,190,-5,loss
191,191,5,win
192,192,-5,loss
193,193,-5,loss
194,194,-5,loss
195,195,0,draw
196,196,-5,loss
197,197,5,win
198,198,0,draw
199,199,5,win
200,200,-5,loss
201,201,-5,loss
202,202,-5,loss
203,203,-5,loss
204,204,-5,loss
205,205,-5,loss
206,206,-5,loss
207,207,-5,loss
208,208,5,win
209,209,0,draw
210,210,5,win
211,211,5,win
212,212,-5,loss
213,213,-5,loss
214,214,5,win
215,215,-5,loss
216,216,-5,loss
217,217,-5,loss
218,218,0,draw
219,219,-5,loss
220,220,5,win
221,221,-5,loss
222,222,-5,loss
223,223,-5,loss
224,224,-5,loss
225,225,5,win
226,226,-5,loss
227,227,-5,loss
228,228,5,win
229,229,-5,loss
230,230,5,win
231,231,-5,loss
232,232,0,draw
233,233,-5,loss
234,234,0,draw
235,235,-5,loss
236,236,5,win
237,237,5,win
238,238,-5,loss
239,239,-5,loss
240,240,-5,loss
241,241,-5,loss
242,242,5,win
243,243,-5,loss
244,244,5,win
245,245,5,win
246,246,-5,loss
247,247,-5,loss
248,248,5,win
249,249,5,win
250,250,-5,loss
251,251,-5,loss
252,252,-5,loss
253,253,0,draw
254,254,-5,loss
255,255,-5,loss
256,256,5,win
257,257,-5,loss
258,258,5,win
259,259,-5,loss
260,260,-5,loss
261,261,5,win
262,262,-5,loss
263,263,-5,loss
264,264,5,win
265,265,-5,loss
266,266,-5,loss
267,267,5,win
268,268,5,win
269,269,-5,loss
270,270,-5,loss
271,271,-5,loss
272,272,-5,loss
273,273,5,win
274,274,-5,loss
